name,status,function,river,state,latitude,longitude,height_m,capacity_mw,storage_mcm,dist_to_major_km,dist_to_fault_km,vs30,pga_g,seismic_score,fault_score,proximity_score,exposure_score,composite_risk,risk_grade,return_period_m6_yrs
Dam near 22.09N 95.86E,Complete,Irrigation,,,22.09474,95.862392,0.0,,0.0,391.3,6.2,760,0.1658,10.0,10.0,1.3,10.0,8.3,Critical,0.0
Dam near 21.77N 95.89E,Complete,Irrigation,,,21.773814,95.892268,0.0,,0.0,396.9,2.9,760,0.1908,10.0,10.0,1.3,10.0,8.3,Critical,0.0
Natkar,Complete,Irrigation,,,20.684856,95.884964,0.0,,13.94,447.1,8.4,760,0.1508,10.0,10.0,1.1,10.0,8.2,Critical,0.0
Meikhtila,Complete,Irrigation,,,20.875818,95.865057,0.0,,0.0,438.2,8.8,760,0.1483,10.0,10.0,1.1,10.0,8.2,Critical,0.0
Ta Nai Hka,Identified Sites,,Ta Nai Hka,Kachin,26.294175,96.95008,0.0,,0.0,474.9,4.3,760,0.1806,10.0,10.0,1.1,10.0,8.2,Critical,0.0
Dam near 20.60N 95.90E,Complete,Irrigation,,,20.597321,95.89696,0.0,,0.0,451.3,7.9,760,0.154,10.0,10.0,1.1,10.0,8.2,Critical,0.0
Dam near 21.74N 95.85E,Complete,Irrigation,,,21.739152,95.846709,0.0,,0.0,402.5,7.9,760,0.1537,10.0,10.0,1.2,10.0,8.2,Critical,0.0
Taungnyo,Complete,Irrigation,Taungnyo,,20.452426,95.969404,0.0,,258.99,454.0,1.3,760,0.1999,10.0,10.0,1.1,10.0,8.2,Critical,0.0
Dam near 20.85N 96.03E,Complete,Irrigation,,,20.854343,96.02702,0.0,,0.0,425.0,8.9,760,0.1478,10.0,10.0,1.2,10.0,8.2,Critical,0.0
Dam near 21.47N 95.87E,Complete,Irrigation,,,21.468135,95.8671,0.0,,0.0,410.2,6.4,760,0.1642,10.0,10.0,1.2,10.0,8.2,Critical,0.0
Dam near 20.72N 95.90E,Complete,Irrigation,,,20.721658,95.903834,0.0,,0.0,443.4,6.0,760,0.1674,10.0,10.0,1.1,10.0,8.2,Critical,0.0
Dam near 20.47N 96.08E,Complete,Irrigation,,,20.468555,96.075001,0.0,,0.0,444.2,10.6,760,0.1386,10.0,9.5,1.1,10.0,8.1,Critical,0.0
Dam near 17.55N 96.37E,Complete,Irrigation,,,17.548282,96.366141,0.0,,0.0,669.8,10.0,760,0.1415,10.0,10.0,0.7,10.0,8.1,Critical,0.0
Dam near 21.05N 95.83E,Complete,Irrigation,,,21.050036,95.831831,0.0,,0.0,432.2,11.8,760,0.1327,10.0,8.5,1.2,10.0,7.8,Critical,0.0
Dam near 21.04N 95.83E,Complete,Irrigation,,,21.038121,95.833504,0.0,,0.0,432.7,11.6,760,0.1334,10.0,8.6,1.2,10.0,7.8,Critical,0.0
Thaphan Chaung,Complete,Irrigation,Thaphan Chaung,,20.515519,95.864282,0.0,,7.429,459.0,12.3,760,0.1305,10.0,8.1,1.1,10.0,7.7,Critical,0.0
Kun Chaung,Complete,Multi-purpose,Kun Chaung,Bago,18.420367,96.363854,73.0,60.0,1468.0,587.8,1.0,760,0.2009,10.0,10.0,0.9,6.1,7.6,Critical,0.0
Dam near 21.34N 95.81E,Complete,Irrigation,,,21.340483,95.810878,0.0,,0.0,420.8,13.1,760,0.127,10.0,7.6,1.2,10.0,7.5,Critical,0.0
