name,latitude,longitude,pga_median_g,pga_mean_g,pga_std_g,pga_p05_g,pga_p16_g,pga_p50_g,pga_p84_g,pga_p95_g,prob_pga_gt_0.1g,prob_pga_gt_0.2g,prob_pga_gt_0.5g
Baluchaung 1,19.648,97.287,0.0515,0.0631,0.0473,0.0188,0.0273,0.0515,0.0952,0.1506,0.146,0.02,0.001
Baluchaung 2,19.557,97.358,0.0501,0.062,0.0438,0.0173,0.0264,0.0501,0.0968,0.1447,0.146,0.015,0.0
Baluchaung 3,19.546,97.397,0.0464,0.0574,0.0435,0.0168,0.0249,0.0464,0.0846,0.1328,0.117,0.011,0.001
Baluchaung (upper),20.484592,96.781918,0.0663,0.0817,0.0594,0.0209,0.0333,0.0663,0.1313,0.1963,0.257,0.048,0.002
Bawgata,18.255561,96.848496,0.0968,0.1161,0.0802,0.0316,0.0506,0.0968,0.1792,0.2521,0.477,0.115,0.005
Belin,17.519723,97.243546,0.0648,0.0805,0.061,0.0216,0.034,0.0648,0.1238,0.1976,0.247,0.045,0.0
Buywa (upper),20.76609,94.0818,0.0257,0.0327,0.0249,0.0092,0.0132,0.0257,0.0516,0.0789,0.025,0.001,0.0
Buywa,20.658056,94.150833,0.0279,0.0353,0.0265,0.0091,0.0149,0.0279,0.0559,0.0832,0.031,0.001,0.0
Chipwi,25.8905,98.12572,0.0445,0.0551,0.0406,0.015,0.0231,0.0445,0.0836,0.1295,0.107,0.01,0.0
Chipwi Nge,25.806073,98.184039,0.0408,0.0488,0.0317,0.0142,0.021,0.0408,0.0773,0.1104,0.077,0.002,0.0
Dapein 1,24.421451,97.525448,0.039,0.048,0.0327,0.0145,0.0212,0.039,0.0748,0.1125,0.072,0.005,0.0
Dapein 2,24.36827,97.4214,0.0426,0.0537,0.0398,0.0148,0.023,0.0426,0.0829,0.1235,0.106,0.013,0.0
Deedoke,21.68723,96.404455,0.0957,0.1168,0.0824,0.0342,0.0504,0.0957,0.1757,0.268,0.478,0.123,0.004
Dum Ban,25.511556,97.907021,0.0473,0.0586,0.045,0.0157,0.0249,0.0473,0.0904,0.1396,0.127,0.019,0.0
Gaw Lan,26.051936,98.580461,0.033,0.0413,0.0293,0.0112,0.0181,0.033,0.065,0.0999,0.05,0.002,0.0
Hawkham (upper),19.211667,97.399722,0.0485,0.0605,0.0494,0.0167,0.0258,0.0485,0.0926,0.1456,0.131,0.012,0.001
He Kou,21.341291,100.720928,0.0061,0.0075,0.0053,0.0022,0.0032,0.0061,0.0118,0.0178,0.0,0.0,0.0
Hkankawn,26.023865,98.429523,0.0374,0.0456,0.0322,0.0126,0.019,0.0374,0.071,0.1072,0.062,0.005,0.0
Pisa,26.598389,98.34309,0.0468,0.0593,0.0456,0.0169,0.0256,0.0468,0.0901,0.1401,0.127,0.015,0.001
Tamanthi,25.322227,95.296955,0.058,0.0708,0.0506,0.0197,0.0305,0.058,0.1073,0.172,0.198,0.033,0.0
Hutgyi,17.528,97.747,0.04,0.05,0.0353,0.0134,0.0209,0.04,0.0782,0.1158,0.094,0.002,0.0
Kabaung,18.896717,96.220825,0.2969,0.3682,0.2607,0.1068,0.1538,0.2969,0.5811,0.8792,0.963,0.735,0.22
Keng Tawng,20.598345,98.29305,0.0185,0.0232,0.0166,0.0065,0.0097,0.0185,0.036,0.055,0.004,0.0,0.0
Keng Tawng (upper),20.74558,98.184077,0.0207,0.0251,0.0174,0.0076,0.0108,0.0207,0.0391,0.0603,0.004,0.0,0.0
Keng Tong,21.617799,99.500985,0.0094,0.0111,0.0073,0.0033,0.0048,0.0094,0.017,0.0247,0.0,0.0,0.0
Keng Yang,21.3469,100.5619,0.0057,0.0072,0.0051,0.0022,0.003,0.0057,0.0109,0.0175,0.0,0.0,0.0
Khaunglanphu,26.849507,98.376808,0.0544,0.0664,0.0479,0.0192,0.0278,0.0544,0.1029,0.1626,0.173,0.023,0.0
Kinda,21.160437,96.321037,0.1098,0.1365,0.0994,0.0373,0.0561,0.1098,0.2091,0.3244,0.566,0.173,0.008
Kun Chaung,18.420367,96.363854,0.4911,0.6017,0.4429,0.175,0.2548,0.4911,0.9135,1.45,0.998,0.914,0.484
KunLong,23.531667,98.611111,0.0167,0.0203,0.0147,0.0053,0.0085,0.0167,0.0314,0.0487,0.003,0.0,0.0
Kyee Ohn Kyee Wa,20.331,94.416,0.0336,0.0422,0.0318,0.0118,0.0181,0.0336,0.0641,0.0999,0.049,0.003,0.0
Lawngdin,26.043012,98.277743,0.0402,0.0496,0.034,0.0135,0.0209,0.0402,0.0757,0.1163,0.085,0.004,0.0
Lemro 1,20.857443,93.350503,0.0159,0.0201,0.016,0.0054,0.008,0.0159,0.0311,0.047,0.006,0.0,0.0
Laza,26.491779,97.77695,0.074,0.0938,0.0715,0.025,0.0379,0.074,0.1467,0.2312,0.334,0.076,0.003
Lemro 2,20.740347,93.268689,0.0148,0.0187,0.0138,0.0051,0.0078,0.0148,0.029,0.0447,0.001,0.0,0.0
Nam Pawn (lower),19.555,97.408611,0.0463,0.0545,0.0373,0.015,0.0226,0.0463,0.0837,0.1222,0.102,0.007,0.0
Mong Ton,20.456389,98.65,0.0155,0.0195,0.0138,0.0056,0.0084,0.0155,0.0305,0.0433,0.001,0.0,0.0
Manipur,22.804356,93.943248,0.0249,0.0291,0.0193,0.0085,0.0128,0.0249,0.0449,0.0633,0.011,0.001,0.0
Mantong,22.97469,98.55727,0.0163,0.0202,0.0142,0.0056,0.0088,0.0163,0.0322,0.0467,0.001,0.0,0.0
Mone Chaung,20.479942,94.255325,0.0313,0.038,0.0276,0.0108,0.0162,0.0313,0.0581,0.0869,0.035,0.003,0.0
Mongwa,21.39699,100.325821,0.0063,0.0075,0.0051,0.002,0.0033,0.0063,0.0116,0.0174,0.0,0.0,0.0
Myitsone,25.715,97.535,0.0663,0.0838,0.0619,0.0237,0.0349,0.0663,0.1369,0.2027,0.278,0.053,0.001
Myittha,21.992222,94.036944,0.0263,0.0334,0.0247,0.0088,0.0139,0.0263,0.0534,0.0803,0.025,0.002,0.0
