latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt
23.9090000,94.7860000,129.2000,3.80,mb,9,157.4,,0.47,us,usp000d7e6,2014-11-07T01:23:50.762Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-10-31 22:42:40,2004-11-01 05:12:40
24.3180000,94.1900000,81.8000,4.20,mb,24,71.8,,0.87,us,usp000d7dj,2014-11-07T01:23:50.697Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2004-10-31 12:26:20,2004-10-31 18:56:20
22.1780000,94.6440000,119.4000,4.20,mb,10,156.8,,0.93,us,usp000d79c,2014-11-07T01:23:50.181Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-10-29 02:49:41,2004-10-29 09:19:41
24.9190000,95.1770000,135.5000,3.80,mb,9,163.7,,1.34,us,usp000d77f,2014-11-07T01:23:49.961Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-10-27 23:50:09,2004-10-28 06:20:09
22.3490000,93.1670000,10.0000,3.90,mb,13,190.7,,1.1,us,usp000d776,2014-11-07T01:23:49.797Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2004-10-27 19:43:15,2004-10-28 02:13:15
26.5130000,96.9910000,69.4000,4.00,mb,7,134.2,,0.22,us,usp000d6qc,2014-11-07T01:23:47.210Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-10-20 06:11:01,2004-10-20 12:41:01
24.8690000,96.2030000,48.3000,4.20,mb,17,134.7,,0.81,us,usp000d67u,2014-11-07T01:23:44.610Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-10-12 02:17:20,2004-10-12 08:47:20
25.5150000,95.4890000,109.6000,0.00,,8,177.4,,0.96,us,usp000d66y,2014-11-07T01:23:44.483Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-10-11 13:38:44,2004-10-11 20:08:44
24.3040000,94.2980000,69.3000,4.90,mwc,118,53.6,,0.88,us,usp000d619,2015-02-11T17:17:49.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2004-10-08 21:48:05,2004-10-09 04:18:05
25.3140000,95.7750000,56.5000,4.70,mb,72,63.1,,0.85,us,usp000d5zu,2014-11-07T01:23:43.363Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-10-08 06:28:28,2004-10-08 12:58:28
24.9860000,95.1430000,99.6000,4.10,mb,30,95.2,,1.26,us,usp000d5j3,2014-11-07T01:23:39.965Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-10-01 20:24:29,2004-10-02 02:54:29
