latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km
18.446,94.312,56.6,4.3,mb,12,172.3,,0.68,us,usp000fawg,2014-11-07T01:32:18.498Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-29 22:24:48,2007-04-30 04:54:48,Rakhine,Thandwe,Thandwe,Zee Hpyu Kone,village,0.5
16.436,94.057,31.5,4.5,mb,84,64.9,,0.76,us,usp000faw4,2014-11-07T01:32:18.447Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-29 18:40:10,2007-04-30 01:10:10,,,,Sa Par Gyi,village,21.2
15.529,96.151,31.6,4.9,mwc,81,58.9,,0.87,us,usp000fan0,2015-02-11T17:18:34.000Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-26 05:23:49,2007-04-26 11:53:49,,,,Ban Dar Pin,village,70.2
15.531,96.209,10.0,4.1,mb,12,177.7,,0.51,us,usp000fakt,2014-11-07T01:32:17.134Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-25 18:35:35,2007-04-26 01:05:35,,,,Ban Dar Pin,village,75.0
15.649,96.386,58.0,4.5,mb,22,101.2,,0.87,us,usp000fakq,2014-11-07T01:32:17.128Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-25 17:49:25,2007-04-26 00:19:25,,,,Oke Aw Lan,village,77.5
17.712,96.174,10.0,4.5,mb,41,157.3,,0.87,us,usp000fa1w,2014-11-07T01:32:13.532Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-19 10:43:15,2007-04-19 17:13:15,Bago,Bago,Bago,Taik Gyi,village,5.8
20.442,95.955,23.1,4.5,mb,27,98.6,,0.85,us,usp000f9vt,2014-11-07T01:32:12.791Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-16 17:02:54,2007-04-16 23:32:54,Mandalay,Yamethin,Yamethin,Than Bo,village,2.4
20.476,93.649,60.8,0.0,,20,172.7,,0.82,us,usp000f9bx,2014-11-07T01:32:09.964Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-10 17:17:07,2007-04-10 23:47:07,Rakhine,Mrauk-U,Minbya,Kyway Chaung,village,24.3
22.5,94.466,83.5,3.9,mb,15,112.5,,0.97,us,usp000f9bp,2014-11-07T01:32:09.922Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-10 16:10:14,2007-04-10 22:40:14,Saigang,Yinmarbin,Kani,Ku Seik,village,2.8
24.886,95.207,125.2,4.5,mb,22,86.5,,0.91,us,usp000f8rx,2014-11-07T01:32:06.975Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-05 08:42:16,2007-04-05 15:12:16,Saigang,Hkamti,Homalin,Laung Hpaung,village,5.2
21.513,94.775,111.6,4.2,mb,14,148.1,,0.53,us,usp000f81w,2014-11-07T01:32:01.340Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2007-04-01 08:21:32,2007-04-01 14:51:32,Magway,Pakokku,Myaing,Htan Nge Taw,village,0.5
