latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km,shakemapURL,shakemapLastUpdated
24.8777,96.298,66.19,4.8,mb,,86,4.081,0.61,us,usc000svpv,2015-01-31T02:50:11.040Z,,"117 km NW of Bhamo, Myanmar",MM,Asia,earthquake,0,0,1,,,2014-11-08 17:06:46,2014-11-08 23:36:46,Kachin,Mohnyin,Mohnyin,Ong San Hseng,village,4.1,,
24.8744,94.866,87.48,4.8,mb,,29,2.812,0.79,us,usc000svq2,2015-01-31T02:50:11.040Z,,"85 km ENE of Yairipok, India",MM,Asia,earthquake,0,0,1,,,2014-11-08 18:19:39,2014-11-09 00:49:39,Sagaing,Hkamti,Homalin,,village,0.2,,
19.4662,94.9167,67.46,4.6,mb,,61,3.862,0.82,us,usc000svzk,2022-07-27T07:20:31.299Z,,"32 km WNW of Thayetmyo, Myanmar",MM,Asia,earthquake,0,0,1,,,2014-11-10 10:34:29,2014-11-10 17:04:29,Magway,Thayet,Thayet,Pun Gyi,village,1.0,,
23.5981,94.0857,71.86,4.7,mb,,158,2.821,0.71,us,usb000sytb,2015-01-31T02:50:18.040Z,,"32 km W of Mawlaik, Myanmar",MM,Asia,earthquake,0,0,1,,,2014-11-11 18:35:50,2014-11-12 01:05:50,Chin,Falam,Tonzang,Saw Bwar Yae Shin,village,4.2,,
24.8093,95.2728,129.63,4.4,mb,,114,3.186,0.64,us,usb000t0gn,2015-02-12T01:42:40.040Z,,"122 km SE of Phek, India",MM,Asia,earthquake,0,0,1,,,2014-11-13 21:29:29,2014-11-14 03:59:29,Sagaing,Hkamti,Homalin,Nan Taw,village,1.1,,
20.7795,94.4211,66.0,5.3,mwb,,18,3.634,1.0,us,usc000sy0y,2025-12-22T17:01:32.389Z,,"43 km WSW of Chauk, Myanmar",MM,Asia,earthquake,0,0,1,,,2014-11-17 04:34:12,2014-11-17 11:04:12,Magway,Minbu,Salin,Thea,village,0.8,,
23.5081,93.5148,49.0,5.6,mwb,,10,2.546,0.78,us,usb000sybr,2022-07-27T08:17:12.248Z,,"42 km ENE of Khawhai, India",MM,Asia,earthquake,0,0,1,,,2014-11-20 18:14:37,2014-11-21 00:44:37,Chin,Falam,Tedim,Dampi,village,1.4,,
23.4809,93.4722,63.57,4.1,mb,,138,2.545,0.53,us,usb000sye7,2015-02-18T03:30:48.040Z,,"36 km ENE of Khawhai, India",MM,Asia,earthquake,0,0,1,,,2014-11-20 22:45:24,2014-11-21 05:15:24,Chin,Falam,Tedim,Tuisanzang (Zang Khua),village,0.6,,
23.5043,93.5255,67.72,4.6,mb,,122,2.555,0.69,us,usb000syke,2015-02-18T03:30:51.040Z,,"42 km ENE of Khawhai, India",MM,Asia,earthquake,0,0,1,,,2014-11-21 16:11:16,2014-11-21 22:41:16,Chin,Falam,Tedim,Dampi,village,2.3,,
23.8065,93.7677,65.96,4.5,mb,,164,2.468,0.48,us,usc000t424,2015-02-18T03:30:55.040Z,,"59 km S of Chur?ch?ndpur, India",MM,Asia,earthquake,0,0,1,,,2014-11-23 10:45:27,2014-11-23 17:15:27,Chin,Falam,Tonzang,Khuangkhan,village,3.7,,
21.1981,93.7431,60.4,4.2,mb,,202,4.382,0.36,us,usc000t571,2015-02-24T00:35:06.040Z,,"116 km WNW of Chauk, Myanmar",MM,Asia,earthquake,0,0,1,,,2014-11-26 15:56:40,2014-11-26 22:26:40,Chin,Mindat,Kanpetlet,Chaung Yaing,village,1.8,,
22.1044,95.8985,22.23,4.1,mb,,160,3.382,0.49,us,usc000t5kf,2022-07-27T13:54:05.536Z,,"23 km NW of Mandalay, Myanmar",MM,Asia,earthquake,0,0,1,,,2014-11-27 11:17:29,2014-11-27 17:47:29,Sagaing,Sagaing,Sagaing,Pa Du,village,2.9,,
17.2751,96.3481,15.39,4.4,mb,,98,2.543,0.57,us,usb000t0sp,2022-07-27T08:59:30.034Z,,"15 km WSW of Bago, Myanmar",MM,Asia,earthquake,0,0,1,,,2014-11-28 01:09:41,2014-11-28 07:39:41,Bago,Bago,Bago,Ah Laing Ni Ywar Thit,village,3.1,,
