time_utc,time_mmt,latitude,longitude,depth,mag,location,country
2023-06-30 20:58:24,2023-07-01 03:28:24,21.141,99.333,1.0,1.5,"Wan Na-hsai, Shan, Myanmar (Burma)",MM
2023-06-30 20:07:08,2023-07-01 02:37:08,21.117,99.45,4.0,3.0,"Wan Namhing, Shan, Myanmar (Burma)",MM
2023-06-30 19:04:31,2023-07-01 01:34:31,21.181,99.985,1.0,2.6,"Wan Hkang, Shan, Myanmar (Burma)",MM
2023-06-30 18:31:08,2023-07-01 01:01:08,21.168,99.336,2.0,3.3,"Wan Pangkaw, Shan, Myanmar (Burma)",MM
2023-06-30 18:10:30,2023-07-01 00:40:30,21.135,99.384,4.0,2.0,"Wan Na-hsai, Shan, Myanmar (Burma)",MM
2023-06-30 16:46:53,2023-06-30 23:16:53,21.0766,99.5199,10.0,4.5,Wān Panghsang,MM
2023-06-30 06:18:40,2023-06-30 12:48:40,15.365,96.609,10.0,3.1,,MM
2023-06-30 05:44:04,2023-06-30 12:14:04,26.8672,96.6839,36.0,4.4,,MM
2023-06-30 03:11:32,2023-06-30 09:41:32,15.301,96.586,10.0,3.1,,MM
2023-06-29 21:57:20,2023-06-30 04:27:20,15.269,98.162,4.0,2.4,ချေံဍာ်,MM
2023-06-29 21:51:33,2023-06-30 04:21:33,15.291,98.185,1.0,2.0,"ကွာန်ချေံဍာ်, မွန်ပြည်နယ်, Myanmar (Burma)",MM
2023-06-29 21:30:09,2023-06-30 04:00:09,15.309,96.537,10.0,3.3,,MM
2023-06-29 19:03:53,2023-06-30 01:33:53,20.094,98.224,1.0,1.8,"Hkonglong, Shan, Myanmar (Burma)",MM
2023-06-29 12:20:18,2023-06-29 18:50:18,19.022,96.138,10.0,2.5,Zaha,MM
2023-06-29 06:00:12,2023-06-29 12:30:12,15.203,96.507,10.0,3.3,,MM
2023-06-29 05:49:41,2023-06-29 12:19:41,23.704,97.694,10.0,3.7,"Hpa-hpeng, Shan, Myanmar (Burma)",MM
2023-06-29 01:15:00,2023-06-29 07:45:00,15.405,96.648,10.0,3.0,,MM
2023-06-27 19:35:51,2023-06-28 02:05:51,15.266,96.153,10.0,3.3,,MM
2023-06-27 11:23:56,2023-06-27 17:53:56,21.168,99.922,1.0,3.0,"Wan Hsenlong, Shan, Myanmar (Burma)",MM
2023-06-25 18:27:12,2023-06-26 00:57:12,15.31,96.54,10.0,4.0,,MM
2023-06-25 08:25:29,2023-06-25 14:55:29,15.24,96.69,10.0,3.9,,MM
2023-06-24 13:52:29,2023-06-24 20:22:29,15.658,96.881,10.0,3.2,,MM
2023-06-24 07:48:39,2023-06-24 14:18:39,15.562,96.734,10.0,3.2,,MM
2023-06-23 10:55:27,2023-06-23 17:25:27,15.384,96.254,10.0,3.1,,MM
2023-06-23 10:50:31,2023-06-23 17:20:31,15.413,96.663,10.0,3.1,,MM
2023-06-23 10:02:20,2023-06-23 16:32:20,15.3,96.44,10.0,3.6,,MM
2023-06-23 05:51:50,2023-06-23 12:21:50,15.3,96.71,10.0,3.7,,MM
2023-06-22 21:20:01,2023-06-23 03:50:01,15.159,96.563,10.0,2.9,,MM
2023-06-22 16:42:42,2023-06-22 23:12:42,21.24,93.81,42.0,4.4,"Chauk, Myanmar",MM
2023-06-22 09:28:28,2023-06-22 15:58:28,15.201,96.245,10.0,3.7,,MM
2023-06-22 07:27:25,2023-06-22 13:57:25,15.04,96.44,10.0,3.9,,MM
2023-06-22 07:02:37,2023-06-22 13:32:37,18.185,96.553,10.0,3.2,"Penwegon, Bago Region, Myanmar (Burma)",MM
2023-06-22 06:34:14,2023-06-22 13:04:14,15.22,96.55,10.0,4.1,,MM
2023-06-22 01:40:35,2023-06-22 08:10:35,15.176,96.339,10.0,3.6,,MM
2023-06-22 01:05:15,2023-06-22 07:35:15,15.278,96.556,10.0,3.2,,MM
2023-06-22 00:12:57,2023-06-22 06:42:57,15.61,96.22,10.0,4.9,,MM
2023-06-22 00:08:52,2023-06-22 06:38:52,15.44,96.6,10.0,3.6,,MM
2023-06-21 21:34:00,2023-06-22 04:04:00,15.286,96.596,10.0,3.3,,MM
2023-06-21 19:52:02,2023-06-22 02:22:02,15.301,96.601,10.0,2.9,,MM
2023-06-21 18:26:26,2023-06-22 00:56:26,15.15,96.47,15.0,4.4,,MM
2023-06-21 18:12:12,2023-06-22 00:42:12,24.12,94.29,10.0,3.5,"Tamu, Sagaing Region, Myanmar (Burma)",MM
2023-06-21 17:20:30,2023-06-21 23:50:30,14.5,96.68,10.0,3.5,,MM
2023-06-21 15:47:49,2023-06-21 22:17:49,15.48,96.52,10.0,3.7,,MM
2023-06-21 11:00:23,2023-06-21 17:30:23,15.26,96.53,10.0,3.5,,MM
2023-06-21 08:12:49,2023-06-21 14:42:49,15.362,96.161,10.0,3.9,,MM
2023-06-21 04:25:15,2023-06-21 10:55:15,15.482,96.424,10.0,3.9,,MM
2023-06-21 02:47:19,2023-06-21 09:17:19,15.5875,96.0984,10.0,4.6,,MM
2023-06-21 01:36:09,2023-06-21 08:06:09,15.211,96.3,10.0,3.9,,MM
2023-06-20 23:18:02,2023-06-21 05:48:02,18.288,94.354,19.0,3.5,Kwin Waing Tha Hpyu Chaing,MM
2023-06-20 20:24:21,2023-06-21 02:54:21,25.76,95.45,10.0,3.6,"Kauktaung-anauk, Sagaing Region, Myanmar (Burma)",MM
2023-06-20 14:03:48,2023-06-20 20:33:48,15.29,95.676,10.0,3.4,,MM
2023-06-20 00:20:32,2023-06-20 06:50:32,20.956,99.913,1.0,2.6,"Monghpyak, Shan, Myanmar (Burma)",MM
