time_utc,time_mmt,latitude,longitude,depth,mag,location,country
1973-03-24 00:27:32,1973-03-24 06:57:32,21.624,98.323,33.0,4.9,,MM
1973-02-10 04:25:29,1973-02-10 10:55:29,24.34,94.413,74.0,4.4,,MM
1973-06-01 13:03:01,1973-06-01 19:33:01,25.197,98.579,33.0,5.1,,MM
1973-05-23 01:57:53,1973-05-23 08:27:53,24.321,94.852,63.0,4.2,,MM
1973-07-31 21:06:14,1973-08-01 03:36:14,27.256,97.092,33.0,4.8,,MM
1973-07-27 20:23:50,1973-07-28 02:53:50,23.334,94.51,79.0,5.3,,MM
1973-07-12 21:31:03,1973-07-13 04:01:03,24.152,95.035,135.0,4.4,,MM
1973-07-04 21:04:46,1973-07-05 03:34:46,23.612,94.841,127.0,5.2,,MM
1973-08-15 09:00:54,1973-08-15 15:30:54,26.417,95.472,41.0,4.7,,MM
1973-10-30 02:45:00,1973-10-30 09:15:00,20.928,93.215,32.0,4.9,,MM
1973-12-26 01:42:21,1973-12-26 08:12:21,22.484,93.363,50.0,5.1,,MM
1973-12-04 12:48:50,1973-12-04 19:18:50,22.637,94.056,63.0,4.6,,MM
