latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt
22.9380000,94.5280000,116.8000,4.00,mb,11,160.4,,0.43,us,usp000dh6g,2014-11-07T01:25:05.540Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-02-28 13:54:19,2005-02-28 20:24:19
23.6140000,94.5520000,94.8000,4.40,mb,39,132.1,,1.08,us,usp000dgqp,2014-11-07T01:25:02.541Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-02-22 07:46:28,2005-02-22 14:16:28
25.4730000,95.0190000,76.3000,4.20,mb,26,86.8,,1.03,us,usp000dgpj,2014-11-07T01:25:02.298Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-02-21 23:07:05,2005-02-22 05:37:05
21.1930000,93.5250000,54.4000,4.30,mb,28,117.7,,0.63,us,usp000dgpf,2014-11-07T01:25:02.291Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-02-21 22:41:27,2005-02-22 05:11:27
25.2040000,96.4390000,53.4000,3.80,mb,19,124.9,,0.79,us,usp000dgp2,2014-11-07T01:25:02.267Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-02-21 18:26:15,2005-02-22 00:56:15
24.4280000,94.5370000,69.7000,5.20,mwc,199,61.4,,0.9,us,usp000dg6x,2015-02-11T17:17:57.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-02-15 13:05:49,2005-02-15 19:35:49
19.8190000,95.8030000,16.0000,4.80,mwc,195,55.2,,0.71,us,usp000dfq3,2015-02-11T17:17:57.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-02-08 07:20:58,2005-02-08 13:50:58
22.9700000,94.3290000,97.3000,4.40,mb,19,87,,0.79,us,usp000dfpg,2014-11-07T01:24:57.152Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-02-08 01:36:49,2005-02-08 08:06:49
26.1250000,95.5630000,75.5000,4.90,mwc,236,59.7,,0.75,us,usp000dffd,2015-02-11T17:17:56.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-02-03 20:13:29,2005-02-04 02:43:29
17.5860000,95.8080000,10.0000,4.40,mb,19,111.5,,0.79,us,usp000de6x,2014-11-07T01:24:44.014Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-01-24 11:31:28,2005-01-24 18:01:28
22.9690000,94.6990000,104.7000,4.90,mwc,94,64.4,,1.02,us,usp000ddn3,2015-02-11T17:17:54.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-01-18 03:02:55,2005-01-18 09:32:55
21.9830000,94.5760000,110.2000,4.30,mb,53,98.3,,0.61,us,usp000ddbc,2014-11-07T01:24:39.215Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-01-14 18:17:38,2005-01-15 00:47:38
20.9040000,98.0340000,20.0000,3.80,mb,8,172.8,,1.03,us,usp000dd6n,2014-11-07T01:24:38.213Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-01-12 20:44:53,2005-01-13 03:14:53
20.7740000,97.4700000,10.0000,3.60,mb,9,179.2,,0.97,us,usp000dcx1,2014-11-07T01:24:36.325Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-01-09 17:42:17,2005-01-10 00:12:17
16.3690000,95.5910000,36.5000,4.10,mb,21,101.5,,1.22,us,usp000dcv3,2014-11-07T01:24:36.039Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2005-01-09 03:17:24,2005-01-09 09:47:24
25.1220000,98.8590000,36.5000,4.70,mb,77,77.4,,0.65,us,usp000dcqu,2014-11-07T01:24:35.498Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2005-01-07 15:50:12,2005-01-07 22:20:12
23.5830000,94.8000000,129.0000,4.40,mb,67,87.8,,0.8,us,usp000dcpp,2014-11-07T01:24:35.317Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-01-07 03:53:25,2005-01-07 10:23:25
25.4340000,96.6030000,44.2000,4.70,mb,65,104.2,,0.6,us,usp000dcns,2014-11-07T01:24:35.072Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-01-06 14:19:48,2005-01-06 20:49:48
17.2220000,95.9740000,146.5000,4.20,mb,20,78.6,,0.86,us,usp000dkh7,2014-11-07T01:25:21.289Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-03-29 15:31:03,2005-03-29 22:01:03
18.3580000,95.1260000,50.3000,4.30,mb,18,148.6,,0.83,us,usp000dk3j,2014-11-07T01:25:19.568Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-03-26 11:33:15,2005-03-26 18:03:15
25.4770000,94.8420000,67.2000,5.20,mwc,282,34.9,,0.71,us,usp000dk17,2015-02-11T17:17:59.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-03-25 13:34:40,2005-03-25 20:04:40
26.0800000,95.2850000,68.9000,4.90,mwc,177,49.7,,0.65,us,usp000djvc,2015-02-11T17:17:59.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-03-23 05:59:07,2005-03-23 12:29:07
21.8070000,95.7950000,25.9000,0.00,,8,193.7,,0.42,us,usp000dj4q,2014-11-07T01:25:14.014Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-03-13 20:35:30,2005-03-14 03:05:30
24.5520000,94.6090000,80.1000,3.70,mb,8,176.8,,0.55,us,usp000dj03,2014-11-07T01:25:13.400Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-03-11 16:39:33,2005-03-11 23:09:33
