latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km
23.056,94.474,54.5,4.2,mb,35,177.1,,0.79,us,usp000e8zj,2014-11-07T01:28:10.181Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-01-27 23:58:29,2006-01-28 06:28:29,Saigang,Kale,Mingin,Kha Yu Inn,village,2.9
19.406,94.994,79.5,4.1,mb,18,177.5,,0.63,us,usp000e8u6,2014-11-07T01:28:09.400Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-01-25 09:22:01,2006-01-25 15:52:01,Magway,Thayet,Thayet,Ohn Mun Taw,village,1.5
20.551,98.175,10.0,4.4,mb,29,160.8,,0.74,us,usp000e8sx,2014-11-07T01:28:09.271Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-01-24 13:42:07,2006-01-24 20:12:07,Shan,Langkho,Langkho,Ho Hpar,village,13.6
23.848,94.908,35.0,3.7,mb,19,270.8,,0.71,us,usp000e8mq,2014-11-07T01:28:08.167Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-01-21 22:35:02,2006-01-22 05:05:02,Saigang,Mawlaik,Mawlaik,Nar Naung,village,15.0
24.688,95.284,149.2,3.7,mb,23,127.3,,1.02,us,usp000e7wb,2014-11-07T01:28:05.155Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-01-09 01:28:05,2006-01-09 07:58:05,Saigang,Hkamti,Homalin,Ton Baw Di,village,4.9
17.468,95.722,38.5,4.2,mb,18,138.7,,1.22,us,usp000e7jz,2014-11-07T01:28:03.722Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-01-04 11:09:29,2006-01-04 17:39:29,Ayeyarwady,Hinthada,Zalun,Lay Tu,village,2.3
23.184,93.851,61.0,5.1,mwc,173,62.0,,0.85,us,usp000ecy7,2015-02-11T17:18:15.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-03-25 20:13:30,2006-03-26 02:43:30,Chin,Falam,Tedim,Ngalzang,village,0.3
23.975,94.565,35.0,3.9,mb,11,177.7,,0.41,us,usp000ectn,2014-11-07T01:28:34.697Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-03-24 04:07:47,2006-03-24 10:37:47,Saigang,Mawlaik,Paungbyin,Tha Ngar,village,4.3
24.685,94.073,46.4,4.4,mb,17,114.2,,1.08,us,usp000ecme,2014-11-07T01:28:34.025Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-03-21 07:29:34,2006-03-21 13:59:34,,,,Changamdabi,village,0.8
19.264,95.685,21.3,3.9,mb,18,111.2,,0.68,us,usp000ecg4,2014-11-07T01:28:33.416Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-03-19 16:19:41,2006-03-19 22:49:41,Magway,Thayet,Aunglan,Tin Taw,village,1.7
21.098,94.266,118.8,4.2,mb,11,178.5,,0.45,us,usp000ec2p,2014-11-07T01:28:31.319Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-03-13 12:44:57,2006-03-13 19:14:57,Magway,Gangaw,Saw,Thone Lan Pyayt,village,2.3
19.973,95.838,65.2,4.2,mb,18,111.6,,0.69,us,usp000ebj7,2014-11-07T01:28:28.985Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-03-06 15:22:42,2006-03-06 21:52:42,Mandalay,Oke Ta Ra,Oke Ta Ra Thi Ri,Gway Cho,village,4.8
19.626,95.43,35.0,4.1,mb,15,133.4,,0.93,us,usp000eb95,2014-11-07T01:28:27.521Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-03-03 07:44:08,2006-03-03 14:14:08,Magway,Thayet,Sinbaungwe,Thar Si,village,2.9
21.116,94.469,112.8,5.2,mb,20,168.8,,0.82,us,usp000eb7p,2014-11-07T01:28:27.330Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-03-03 01:36:06,2006-03-03 08:06:06,Magway,Pakokku,Seikphyu,Htun,village,0.6
24.268,94.526,77.9,4.9,mwc,92,52.2,,1.15,us,usp000eb6g,2015-02-11T17:18:13.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-03-02 17:16:59,2006-03-02 23:46:59,Saigang,Tamu,Tamu,Ton Ma Na,village,12.1
27.438,96.791,68.6,4.1,mb,18,137.4,,1.26,us,usp000eazp,2014-11-07T01:28:22.666Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-02-27 12:49:55,2006-02-27 19:19:55,,,,,village,20.1
24.361,94.204,84.2,4.5,mb,20,131.0,,0.93,us,usp000ea52,2014-11-07T01:28:18.788Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-02-16 07:01:59,2006-02-16 13:31:59,,,,Khongkhang,village,1.2
23.765,94.566,126.6,4.1,mb,19,122.6,,0.79,us,usp000ejap,2014-11-07T01:29:13.081Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-05-30 13:42:43,2006-05-30 20:12:43,Saigang,Mawlaik,Mawlaik,Wea Ka Thar,village,5.5
26.209,96.858,27.2,4.6,mb,67,64.7,,1.07,us,usp000ehzt,2014-11-07T01:29:11.296Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-05-26 04:52:09,2006-05-26 11:22:09,Kachin,Myitkyina,Tanai,Nawng Long Kawng Ra,village,13.4
21.833,94.596,28.5,4.5,mb,40,72.0,,1.03,us,usp000ehxh,2014-11-07T01:29:11.012Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-05-25 13:56:27,2006-05-25 20:26:27,Magway,Pakokku,Myaing,Nga Myaung,village,1.9
24.936,95.081,112.8,4.2,mb,51,95.2,,0.87,us,usp000eh7e,2014-11-07T01:29:07.464Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-05-15 23:58:48,2006-05-16 06:28:48,Saigang,Hkamti,Homalin,Toke Long,village,7.0
21.32,97.419,10.0,4.1,mb,36,124.5,,1.0,us,usp000eh4x,2014-11-07T01:29:07.086Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-05-14 22:15:38,2006-05-15 04:45:38,Shan,Taunggyi,Hopong,Hpar Lan Ywar Ma,village,3.0
23.344,94.266,100.0,3.9,mb,9,154.0,,0.47,us,usp000eh2g,2014-11-07T01:29:06.680Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-05-14 04:36:23,2006-05-14 11:06:23,Saigang,Kale,Kalewa,Yaw Su,village,5.5
23.309,94.307,30.0,5.6,mwc,455,20.2,,0.81,us,usp000egvx,2015-02-12T20:27:25.737Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-05-11 17:22:51,2006-05-11 23:52:51,Saigang,Kale,Kalewa,Yaw Su,village,1.0
24.805,95.239,106.2,4.8,mb,36,75.8,,1.04,us,usp000egv1,2014-11-07T01:29:05.563Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-05-11 09:49:58,2006-05-11 16:19:58,Saigang,Hkamti,Homalin,Naung Khan,village,0.7
26.029,95.756,106.3,4.6,mb,41,85.1,,0.95,us,usp000egq1,2014-11-07T01:29:04.934Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-05-09 23:17:40,2006-05-10 05:47:40,Saigang,Hkamti,Hkamti,Makannaung,village,0.6
24.098,94.466,131.4,4.1,mb,32,103.1,,0.7,us,usp000efx5,2014-11-07T01:28:59.407Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-05-01 01:56:20,2006-05-01 08:26:20,Saigang,Tamu,Tamu,Ka Htu Chaung,village,10.8
20.067,94.053,42.4,0.0,,6,206.5,,0.56,us,usp000efuh,2014-11-07T01:28:56.481Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-04-30 13:47:27,2006-04-30 20:17:27,Rakhine,Kyaukpyu,Ann,Zin Kyaw,village,10.0
24.918,94.978,86.6,4.1,mb,31,116.1,,0.77,us,usp000efg6,2014-11-07T01:28:54.987Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-04-25 13:18:14,2006-04-25 19:48:14,Saigang,Hkamti,Homalin,San Kat,village,3.9
19.222,94.936,76.9,4.6,mb,80,103.7,,0.52,us,usp000eehg,2014-11-07T01:28:50.395Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-04-14 18:49:29,2006-04-15 01:19:29,Magway,Thayet,Thayet,Sin Kaw,village,0.9
24.241,94.628,106.4,4.8,mb,36,80.3,,1.26,us,usp000eeh8,2014-11-07T01:28:50.308Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-04-14 16:24:56,2006-04-14 22:54:56,Saigang,Mawlaik,Paungbyin,Tha Yet Kone,village,4.5
26.209,96.668,29.5,4.4,mb,16,132.4,,1.07,us,usp000edug,2014-11-07T01:28:43.916Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-04-06 14:56:37,2006-04-06 21:26:37,Kachin,Myitkyina,Tanai,Nawng Long Kawng Ra,village,5.6
20.386,92.512,10.0,4.7,mb,29,81.4,,0.55,us,usp000em21,2014-11-07T01:29:26.539Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-06-23 06:59:56,2006-06-23 13:29:56,,,,Su Ra Li,village,14.2
24.822,94.29,58.8,4.6,mb,124,74.0,,0.76,us,usp000em0u,2014-11-07T01:29:26.361Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-06-22 19:16:04,2006-06-23 01:46:04,,,,,village,3.3
22.246,94.548,113.1,4.7,mb,46,87.2,,0.92,us,usp000ekts,2014-11-07T01:29:25.322Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-06-19 14:53:08,2006-06-19 21:23:08,Saigang,Yinmarbin,Kani,Tha Lauk,village,11.4
23.458,99.396,35.0,4.2,mb,27,105.6,,1.03,us,usp000eka1,2014-11-07T01:29:22.105Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2006-06-13 23:04:52,2006-06-14 05:34:52,,,,Hepai,town,3.8
26.952,97.411,35.0,3.8,mb,7,325.0,,1.37,us,usp000ek3w,2014-11-07T01:29:21.137Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-06-11 00:25:18,2006-06-11 06:55:18,Kachin,Puta-O,Puta-O,land mark,village,10.1
21.073,94.504,92.0,4.6,mb,103,62.3,,0.7,us,usp000epas,2014-11-07T01:29:44.105Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-07-22 13:13:00,2006-07-22 19:43:00,Magway,Pakokku,Seikphyu,Nga Chin Chaung,village,2.0
26.854,97.105,38.6,4.3,mb,17,140.5,,0.51,us,usp000eqvy,2014-11-07T01:29:57.718Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-08-13 19:22:41,2006-08-14 01:52:41,Kachin,Myitkyina,Tanai,Khashi,village,36.9
