latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city
23.219,94.639,94.8,4.8,mwc,115,58.5,,0.93,us,usp000h7h1,2015-02-11T17:19:19.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-02-20 21:07:25,2010-02-21 03:37:25,Saigang,Kalay
20.719,94.809,99.7,4.6,mb,52,64.4,,0.8,us,usp000h6av,2014-11-07T01:40:30.753Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-01-19 00:03:08,2010-01-19 06:33:08,Magway,Bagan
24.827,95.377,125.4,4.4,mb,16,97.7,,0.93,us,usp000h9sm,2014-11-07T01:41:04.028Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-03-21 07:49:41,2010-03-21 14:19:41,Saigang,Bhamo
21.421,100.089,10.3,4.9,mwc,56,35.7,,1.2,us,usp000h9q4,2015-02-11T17:19:21.000Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2010-03-19 19:53:36,2010-03-20 02:23:36,Shan,Kengtung
15.007,96.321,35.0,4.7,mb,18,171.7,,0.97,us,usp000h9a7,2014-11-07T01:40:59.604Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2010-03-13 08:53:31,2010-03-13 15:23:31,,Yangon
23.062,94.623,102.1,5.5,mwb,316,20.2,,0.89,us,usp000h99d,2015-02-11T17:19:20.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-03-12 23:19:55,2010-03-13 05:49:55,Saigang,Kalay
19.841,95.843,33.4,4.4,mb,71,65.3,,0.78,us,usp000h8uw,2014-11-07T01:40:56.724Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-03-06 19:11:20,2010-03-07 01:41:20,Mandalay,Naypyidaw
24.151,94.39,64.5,4.5,mb,34,72.7,,0.86,us,usp000hc1e,2014-11-07T01:41:20.930Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2010-04-28 18:54:42,2010-04-29 01:24:42,Saigang,Kalay
19.392,93.163,35.9,5.2,mwc,244,18.6,,0.82,us,usp000hc1b,2015-02-11T17:19:22.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-04-28 18:01:21,2010-04-29 00:31:21,,Sittwe
24.946,98.437,37.0,4.1,mb,31,121.7,,0.8,us,usp000ha7a,2014-11-07T01:41:09.482Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2010-04-01 17:27:26,2010-04-01 23:57:26,,Myitkyina
25.673,95.12,87.6,4.0,mb,23,143.6,,0.58,us,usp000hedf,2014-11-07T01:41:43.667Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-06-23 01:57:33,2010-06-23 08:27:33,Saigang,Myitkyina
16.863,94.694,10.0,4.0,mb,14,101.1,,0.76,us,usp000he7t,2014-11-07T01:41:42.580Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2010-06-18 03:20:36,2010-06-18 09:50:36,Ayeyarwady,Pathein
24.55,94.81,113.9,4.4,mb,48,114.2,,0.8,us,usp000hdwe,2014-11-07T01:41:40.480Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2010-06-12 20:22:00,2010-06-13 02:52:00,Saigang,Kalay
25.048,96.501,29.9,4.6,mb,67,118.9,,1.23,us,usp000hdeq,2014-11-07T01:41:36.538Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-06-01 03:54:24,2010-06-01 10:24:24,Kachin,Myitkyina
23.272,94.729,111.6,4.1,mb,15,146.0,,0.58,us,usp000hgww,2014-11-07T01:42:03.068Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-07-27 14:23:46,2010-07-27 20:53:46,Saigang,Kalay
16.136,94.568,10.0,4.0,mb,15,181.8,,0.7,us,usp000hgss,2014-11-07T01:42:01.430Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2010-07-25 13:31:52,2010-07-25 20:01:52,Ayeyarwady,Pathein
16.345,94.611,10.0,4.6,mb,28,99.5,,0.87,us,usp000hgs8,2014-11-07T01:42:01.222Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2010-07-25 08:57:03,2010-07-25 15:27:03,Ayeyarwady,Pathein
22.272,93.595,67.2,4.6,mb,56,71.0,,0.71,us,usp000hfa9,2014-11-07T01:41:53.345Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2010-07-15 01:30:32,2010-07-15 08:00:32,Chin,Hakha
25.309,96.747,35.0,4.4,mb,20,139.0,,1.21,us,usp000heu0,2014-11-07T01:41:49.643Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-07-02 18:20:25,2010-07-03 00:50:25,Kachin,Myitkyina
25.148,95.176,111.6,4.7,mb,50,104.3,,0.8,us,usp000hjy8,2014-11-07T01:42:18.838Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-08-30 09:39:26,2010-08-30 16:09:26,Saigang,Myitkyina
24.891,95.024,45.9,4.0,mb,15,117.2,,0.82,us,usp000hhs1,2014-11-07T01:42:12.208Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-08-08 13:31:18,2010-08-08 20:01:18,Saigang,Kalay
22.882,94.097,77.8,4.1,mb,36,72.3,,0.73,us,usp000hhp7,2014-11-07T01:42:11.750Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-08-06 20:25:25,2010-08-07 02:55:25,Saigang,Kalay
26.329,96.998,25.8,4.6,mb,42,79.3,,1.09,us,usp000hhm3,2014-11-07T01:42:11.412Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-08-05 18:17:46,2010-08-06 00:47:46,Kachin,Myitkyina
26.372,97.02,38.8,4.2,mb,27,108.8,,0.98,us,usp000hhm2,2014-11-07T01:42:11.409Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-08-05 18:14:19,2010-08-06 00:44:19,Kachin,Putao
26.221,96.89,36.4,4.1,mb,21,118.2,,0.88,us,usp000hhfe,2014-11-07T01:42:10.060Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-08-04 05:41:24,2010-08-04 12:11:24,Kachin,Myitkyina
18.267,94.501,10.0,4.2,mb,17,180.3,,0.71,us,usp000hnt1,2014-11-07T01:42:47.008Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-10-30 09:15:58,2010-10-30 15:45:58,Rakhine,Pyay
19.312,95.625,40.0,4.6,mb,31,99.3,,0.97,us,usp000hq73,2014-11-07T01:42:58.583Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-11-27 14:34:22,2010-11-27 21:04:22,Magway,Naypyidaw
23.376,94.218,85.9,4.6,mb,53,61.2,,0.77,us,usp000hq0j,2014-11-07T01:42:57.343Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2010-11-23 20:34:10,2010-11-24 03:04:10,Saigang,Kalay
