latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km,shakemapURL,shakemapLastUpdated
24.588,98.024,35.7,4.5,mb,44.0,91.9,,0.98,us,usp000hsda,2014-11-07T01:43:19.095Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-01-01 07:32:05,2011-01-01 14:02:05,,,,Huguo,town,4.6,,
24.653,97.918,21.4,5.0,mb,68.0,59.8,,0.88,us,usp000hse3,2014-11-07T01:43:19.754Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-01-01 23:33:39,2011-01-02 06:03:39,,,,闷璋,village,0.4,,
24.538,97.866,35.0,4.1,mb,17.0,140.5,,1.13,us,usp000hse7,2014-11-07T01:43:19.821Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-01-01 23:44:35,2011-01-02 06:14:35,,,,,village,5.0,,
24.401,94.756,95.9,4.8,mb,72.0,56.3,,0.69,us,usp000ht9t,2014-11-07T01:43:27.312Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-01-18 02:15:50,2011-01-18 08:45:50,Saigang,Hkamti,Homalin,Kyun Kone,village,0.8,,
24.267,94.627,86.3,4.7,mb,101.0,52.2,,0.79,us,usp000htr2,2014-11-07T01:43:30.595Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-01-27 22:40:05,2011-01-28 05:10:05,Saigang,Mawlaik,Paungbyin,Tha Yet Kone,village,6.9,,
24.693,97.943,31.1,4.8,mb,75.0,59.8,,1.03,us,usp000htxw,2014-11-07T01:43:34.333Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-02-01 07:11:26,2011-02-01 13:41:26,,,,Pingyuan,town,1.9,,
24.618,94.68,85.0,6.2,mww,555.0,11.8,,1.04,us,usp000hu2t,2015-02-12T22:23:49.138Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-02-04 13:53:46,2011-02-04 20:23:46,Saigang,Hkamti,Homalin,Oke Kan,village,1.6,,
24.531,94.805,78.4,4.1,mb,11.0,112.8,,0.97,us,usp000hu2v,2014-11-07T01:43:37.280Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-02-04 14:06:38,2011-02-04 20:36:38,Saigang,Mawlaik,Paungbyin,Lin Mu,village,7.1,,
22.752,94.547,100.5,4.4,mb,46.0,57.3,,0.95,us,usp000hufd,2014-11-07T01:43:39.957Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-02-13 16:42:10,2011-02-13 23:12:10,Saigang,Kale,Mingin,Hpet Htoke,village,2.8,,
26.114,96.326,59.1,4.8,mb,99.0,59.3,,0.88,us,usp000huhr,2014-11-07T01:43:40.342Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-02-14 23:44:33,2011-02-15 06:14:33,Kachin,Myitkyina,Tanai,,village,20.3,,
24.485,94.747,87.3,4.0,mb,30.0,112.8,,0.54,us,usp000huy9,2014-11-07T01:43:43.062Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-02-22 22:57:27,2011-02-23 05:27:27,Saigang,Mawlaik,Paungbyin,Ka Yut Tar,village,0.9,,
19.55,95.124,83.6,4.7,mb,44.0,58.7,,0.75,us,usp000hv0y,2014-11-07T01:43:43.704Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-02-24 08:28:14,2011-02-24 14:58:14,Magway,Thayet,Thayet,Hpaung Ka Aing,village,4.2,,
19.98,95.333,117.4,4.6,mb,45.0,82.9,,0.75,us,usp000hv5b,2014-11-07T01:43:44.638Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-02-28 00:55:04,2011-02-28 07:25:04,Magway,Magway,Magway,Hpoe Pauk Kan,village,2.0,,
23.946,93.989,63.3,4.4,mb,51.0,96.5,,0.72,us,usp000hvd7,2014-11-07T01:43:51.939Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-03-06 00:18:24,2011-03-06 06:48:24,,,,Thansial,village,4.5,,
22.948,94.334,88.8,4.3,mb,50.0,132.0,,0.78,us,usp000hvh0,2014-11-07T01:43:53.063Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-08 17:48:31,2011-03-09 00:18:31,Saigang,Kale,Mingin,Thein Kone,village,2.0,,
24.727,97.957,10.0,5.5,mwc,185.0,41.9,,0.88,us,usp000hvm3,2015-02-04T11:01:36.476Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-03-10 04:58:13,2011-03-10 11:28:13,,,,Pingyuan,town,2.9,,
24.732,98.236,10.0,4.3,mb,17.0,128.5,,0.74,us,usp000hvm6,2014-11-07T01:43:54.093Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-03-10 05:03:59,2011-03-10 11:33:59,,,,Yousongling,town,6.1,,
24.616,98.192,10.0,4.3,mb,13.0,142.3,,1.35,us,usp000hvm7,2014-11-07T01:43:54.096Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-03-10 05:04:52,2011-03-10 11:34:52,,,,Mangdong,town,5.7,,
24.59,94.717,87.7,4.4,mb,12.0,169.3,,0.42,us,usp000hwe9,2014-11-07T01:44:02.149Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-03-12 10:46:00,2011-03-12 17:16:00,Saigang,Hkamti,Homalin,Mei Nei,village,2.3,,
22.803,94.571,73.8,4.7,mb,37.0,55.5,,1.03,us,usp000hy2v,2014-11-07T01:44:15.909Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-20 17:31:31,2011-03-21 00:01:31,Saigang,Kale,Mingin,Laung Kyin,village,3.5,,
20.687,99.822,8.0,6.9,mww,335.0,18.2,,1.1,us,usp000hyfx,2015-02-12T21:11:35.014Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-24 13:55:12,2011-03-24 20:25:12,Shan,Tachileik,Tachileik,Mae Hoke,village,8.1,,
20.655,99.93,11.1,4.8,mb,63.0,94.8,,1.0,us,usp000hyfz,2014-11-07T01:44:19.208Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-24 14:23:53,2011-03-24 20:53:53,Shan,Tachileik,Tachileik,Nam Tun,village,2.9,,
20.65,99.77,10.0,5.7,mwc,210.0,23.5,,1.1,us,usp000hyg5,2015-02-12T21:00:39.936Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-24 15:54:35,2011-03-24 22:24:35,Shan,Tachileik,Tachileik,Mae Hoke,village,5.6,,
20.751,100.161,10.0,4.4,mb,33.0,93.1,,1.07,us,usp000hygb,2014-11-07T01:44:19.260Z,,"44 km NE of Tachilek, Myanmar",MM,Asia,earthquake,0,0,1,,,2011-03-24 17:20:10,2011-03-24 23:50:10,Shan,Tachileik,Tachileik,Wein Lan,village,0.5,,
20.712,99.879,10.0,5.0,mwc,125.0,35.1,,1.01,us,usp000hyhd,2014-11-07T01:44:19.402Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-25 00:22:39,2011-03-25 06:52:39,Shan,Tachileik,Tachileik,Loi Si Mein,village,4.9,,
20.583,99.586,10.0,4.1,mb,23.0,120.2,,0.99,us,usp000hyhq,2014-11-07T01:44:19.450Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-25 03:26:02,2011-03-25 09:56:02,Shan,Monghsat,Monghsat,Pa Lawng Pu Tun,village,1.1,,
