latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
24.7,94.6,118.0,3.8,ml,,,,,,2016-02-08_110556_3.8,2016-02-08T14:20:00.000Z,"Ongjia, Sagaing Region, Myanmar (Burma)",Myanmar-india Border Region,MM,Asia,earthquake,0,1454929556,1,,,2016-02-08 11:05:56,2016-02-08 17:35:56,Saigang,Nan Aung Maw,village
27.24,98.42,20.0,4.5,mb,,,,,,us20004ym9,2016-02-08T07:45:00.000Z,"Kachin, Myanmar (Burma)",Myanmar-china Border Region,MM,Asia,earthquake,0,1454887869,1,,,2016-02-07 23:31:09,2016-02-08 06:01:09,Kachin,Nin Loet Dam,village
25.95,99.39,60.0,4.8,mb,,,,,,20160207_0000089,2016-02-08T00:57:00.000Z,"Kachin, Myanmar (Burma)","Yunnan, China",MM,Asia,earthquake,0,1454887861,1,,,2016-02-07 23:31:01,2016-02-08 06:01:01,,Nuodeng,village
23.8,93.8,111.0,3.8,ml,,,,,,2016-02-01_194837_3.8,2016-02-01T21:45:00.000Z,"Chin State, Myanmar (Burma)",Myanmar-india Border Region,MM,Asia,earthquake,0,1454356117,1,,,2016-02-01 19:48:37,2016-02-02 02:18:37,Chin,Khuangkhan,village
24.56,96.0271,62.66,4.4,mb,,113.0,3.913,0.74,us,us20005c0c,2016-03-23T18:52:32.090Z,"Sagaing Region, Myanmar (Burma)","126km WNW of Bhamo, Burma",MM,Asia,earthquake,0,1458730203,1,,,2016-03-23 10:50:03,2016-03-23 17:20:03,Saigang,Na Mee,village
26.1,95.3,49.0,3.7,ml,,,,,,2016-03-22_114912_3.7,2016-03-22T11:49:12.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar-india(nagaland) Border Region,MM,Asia,earthquake,0,1458647352,1,,,2016-03-22 11:49:12,2016-03-22 18:19:12,Saigang,Tsupao,village
22.7785,93.968,48.79,4.5,mb,,167.0,3.38,0.4,us,20160307_0000043,2016-03-07T20:25:45.262Z,"Chin State, Myanmar (Burma)","32km ESE of Falam, Burma",MM,Asia,earthquake,0,1457353381,1,,,2016-03-07 12:23:01,2016-03-07 18:53:01,Chin,Se Taw,village
21.05,95.11,124.0,4.9,m,,,,,,20160307_0000012,2016-03-07T07:37:00.000Z,"Magway Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,0,1457320440,1,,,2016-03-07 03:14:00,2016-03-07 09:44:00,Mandalay,Set Set Yo,village
20.98,95.0238,100.99,4.6,mb,,46.0,3.22,1.09,us,us10004vst,2016-03-11T02:57:30.234Z,"Mandalay Region, Myanmar (Burma)","24km ENE of Chauk, Burma",MM,Asia,earthquake,0,1457320438,1,,,2016-03-07 03:13:58,2016-03-07 09:43:58,Mandalay,Hta Naung Win,village
22.7638,93.9152,42.42,4.8,mb,,61.0,3.365,0.58,us,20160519_0000085,2016-05-23T23:40:21.040Z,"Chin State, Myanmar (Burma)","29km SE of Falam, Burma",MM,Asia,earthquake,0,1463699424,1,,,2016-05-19 23:10:24,2016-05-20 05:40:24,Chin,Hmungsum,village
