# USGS completeness backfill manifest (spec 008) — frozen event-id list
# Query: earthquake.usgs.gov/fdsnws/event/1/query GeoJSON,
#   starttime=1970-01-01 endtime=2020-01-01 minmagnitude=4.0
#   minlatitude=9 maxlatitude=29 minlongitude=92 maxlongitude=102
# Filter: epicenter inside a Myanmar ADM1 polygon (pipeline geocoder);
#   spatio-temporal dedup vs the catalog (within 35s AND 250km = same event).
# Pulled 2026-07-07. 160 events. ComCat is mutable — this list is the
# authoritative record of exactly what was added; regenerate via
#   python tools/backfill_usgs.py --start 1970-01-01 --end 2020-01-01
# id,time_utc,mag,net
iscgem797747,1970-03-10 05:20:09,5.44,iscgem
iscgem791105,1970-10-14 16:51:39,5.21,iscgem
iscgemsup786697,1971-03-28 02:54:12,5.38,iscgemsup
iscgemsup786763,1971-03-31 08:16:19,5.14,iscgemsup
iscgem785143,1971-05-30 11:55:58,5.55,iscgem
iscgem785149,1971-05-30 15:44:17,6.18,iscgem
iscgem785158,1971-05-30 21:39:00,5.15,iscgem
iscgem783810,1971-06-26 02:16:38,5.31,iscgem
iscgem779208,1971-10-10 18:25:14,5.79,iscgem
iscgem779313,1971-10-14 12:55:19,5.91,iscgem
iscgem778466,1971-11-11 04:40:59,5.18,iscgem
iscgem778161,1971-12-29 22:27:07,5.63,iscgem
iscgem774874,1972-04-28 11:30:18,5.5,iscgem
iscgem771387,1972-07-07 12:04:12,5.75,iscgem
iscgem771496,1972-07-11 20:46:16,5.04,iscgem
iscgemsup642044517,1972-08-27 14:42:35,5.34,iscgemsup
iscgem766905,1972-11-01 21:53:47,5.37,iscgem
iscgem735476,1974-11-16 04:53:11,5.12,iscgem
iscgem689377,1977-12-22 04:41:59,5.16,iscgem
usp0002pcj,1985-12-24 23:04:08,4.2,us
usp00092fm,1999-02-08 09:02:56,4.4,us
usp000hygb,2011-03-24 17:20:10,4.4,us
usp000hyj0,2011-03-25 06:30:39,4.6,us
usp000hymj,2011-03-26 05:57:33,5.0,us
usb000fmnf,2013-02-28 18:32:26,4.6,us
usb000fsnm,2013-03-26 08:21:55,4.4,us
usb000fwr0,2013-03-30 20:04:45,4.8,us
usb000fz1t,2013-04-03 16:35:45,5.4,us
usb000fzej,2013-04-03 23:00:22,4.6,us
usb000fzn7,2013-04-04 15:16:26,5.1,us
